category,description
Rejected,5 years will exceed 23.9.2021. Hence; the application has been rejected. Please hire a local employee.
Rejected,The worker is working in Bangladesh since 12 April 2004. The guideline 2011 does not allow to work in Bangladesh for more than 5 years at a stretch.
Rejected,salary did not pay through the bank as well as 5 years will exceed on 18-Apr-2022. Hence the application has been rejected.
Rejected,The requested effective date is too old to accept. You can submit a hardcopy application for review by the higher authority.
Rejected,"5 years will excced on 23-Mar-2024,Hence the application has been rejected"
Rejected,Last five years the expatriates' salaries have remained the same as well its seems that the salaries did not sent through the Bangking channel.Hence the application has been rejected
Rejected,"You have taken your latest amendments from the department of textile, so it seems that the department of textile is your patron."
Rejected,"Did not uplaod the security clearance, Uploaded doc 13. Kindly see the doc13 and give your kind decision"
Rejected,1.Previous application for this employee was rejected before.
Rejected,The application was rejected many times. Please ensure departure of the employee soonest.
Rejected,1.The application for extension of work permit has been rejected by the appropriate authorities. Please arrange immediate departure of the employee and apply for WP cancellation afterwards.
Rejected,"This application has been rejected manually by the Executive Chairman sir earlier 2. Eight years of employment has been completed on 18.03.2020 and the last NOC from the Ministry of Health in favor of this doctor was valid up to 17.03.2020\
\
They should apply to the executive Chairman sir through hard copy."
Rejected,Rejected due to repeated resubmission without complying with the shortfall.
Rejected,"Because you hired the  expatriate without completing the recruitment process properly, Hence the application has been rejected"
Rejected, Six (06) years will exceed 30.6.2.2021. Please replace the expatriate by a local employee.
Rejected,Six years of employment will be completed on 11.08.2021; please replace this foreign employee by recruiting local human resources
Rejected,"After the previous shortfall, they uploaded doc 10 and resubmitted the application"
Rejected,"After the previous shortfall, they uploaded doc 10 and resubmit the application. Kindly see the document and give your kind decision."
Rejected,"After the previous shortfall, they uploaded doc  13 and resubmit the application"
Rejected,"Earlier, Overseas allowance was Monthly 48000.00 BDT; House rent was Monthly 3000.00 BDT. Now did not mention the salary structure regarding the uploaded doc 12 and resubmitted the application."
Rejected,Salary increased more than double. What is the actual salary that you pay to the worker?
Rejected,1.Work permit may be extended considering the Covid 19 situation and salary payment through bank is not applicable for the extension of work permit under  E1 visa
Rejected,The deadline for the application is 24.12.2023. Board resolution prepared on 30.11.2023. You did not complete the recruitment process properly; you submitted the wrong application again. Please resubmit correctly
Rejected,1.Work permit may be extended considering the Covid 19 situation and salary payment through bank is not applicable for the extension of work permit under  E1 visa
Rejected,1.Work permit may be extended considering the Covid 19 situation and salary payment through bank is not applicable for the extension of work permit under  E1 visa
Rejected,1.Work permit may be extended considering the Covid 19 situation and salary payment through bank is not applicable for the extension of work permit under  E1 visa
Rejected,1.Work permit may be extended considering the Covid 19 situation and salary payment through bank is not applicable for the extension of work permit under  E1 visa
Rejected,1.The company has submitted an explanation in doc 13 regarding the necessity of further extension of work permit under E1 visa; now the case is forwarded for kind decision
Rejected,"A.Traking number (which you mentioned in the application) and tracking number (which work permit you uploaded ) do not match \
B. Why not provide previous work permit information (WPE-24Jan2022-00003 ) in this application (WPN-04Jul2023-00011) that the expatriate worked in Bangladesh under a work permit? Please explain"
Rejected,"A.Traking number (which you mentioned in the application) and tracking number (which work permit you uploaded ) do not match \
B. Why not provide previous work permit information (WPE-25Jan2022-00023   ) in this application (WPN-21May2023-00027) that the expatriate worked in Bangladesh under a work permit? Please explain\
C.Please also follow the previous shortfall\
Note: Please follow the above observation and resubmit the application properly. The application processing is a fully automatic and online process. If you are confused about the observations or the next course of action, you may call over the phone OR mail for clarifications. Physical visits are generally discouraged to maintain neutrality and transparency of decisions."
Rejected,"A.Traking number (which you mentioned in the application) and tracking number (which work permit you uploaded ) do not match \
B. Why not provide previous work permit information (WPE-23Jan2022-00057   ) in this application (WPN-21May2023-00026 ) that the expatriate worked in Bangladesh under a work permit? Please explain"
Rejected,Already work permit extend. a further application is not acceptable.
Rejected,"1. They did not upload: \
(a) upload the amendment copy of the BIDA registration (approved Director list by BIDA that Mr. Fadi Bitar is appointed as managing director of the company)\
(b) form XII and X ( with mentioning that Mr. Fadi Bitar is the managing director of the company)\
\
2. The previous shortfall was- How can there be two Managing Directors of one company?\
\
3. Now they uploaded docs 12 & 13.\
\
4. With the above observation, the application is forwarded for your kind decision."
Rejected,The application has been rejected because the proposed salary structure is not acceptable.
Rejected, 9 years will be 27-Sep-2023.Please hire local HR
Rejected,The concerned person has to go back to China and take an appropriate visa from the concerned Bangladesh embassy.
Rejected,Regarding the last application and overstay (up to 2.2.20219). Uploaded doc 6 and resubmit the application
Rejected,Too late application. The applciation has been rejected. 
Rejected,"The company declared him as Welding Specialist, whereas he is working as GM Production. False declaration not acceptable. Please replace him."
Rejected,Rejected earlier due to providing false information to BIDA. Changing a letter does not amend that. Not acceptable. 
Rejected,"1. The visa recommendation was approved with the advice: (a) If any misinformation is provided in the application, the work permit will not be allowed. (b) The expatriate has to receive the E visa from the aforesaid Bangladesh mission which you mentioned in the application.\
\
2. But you provided misinformation about the travel history in the E visa application, as well as the expatriate did not receive the E visa from the aforesaid Bangladesh mission which you mentioned in the application\
\
3. So the application has been rejected."
Rejected,"1. The visa recommendation was approved with the advice: (a) If any misinformation is provided in the application, the work permit will not be allowed. (b) The expatriate has to receive the E visa from the aforesaid Bangladesh mission which you mentioned in the application.\
\
2. But you provided misinformation about the travel history in the E visa application, as well as the expatriate did not receive the E visa from the aforesaid Bangladesh mission which you mentioned in the application\
\
3. Hence, the application has been rejected."
Rejected,"1. The visa recommendation was approved with the advice: (a) If any misinformation is provided in the application, the work permit will not be allowed. (b) The expatriate has to receive the E visa from the aforesaid Bangladesh mission which you mentioned in the application.\
\
2. But you provided misinformation about the travel history as well as the expatriate has to receive the E visa from the aforesaid Bangladesh mission which you mentioned in the application\
\
3. So the application has been rejected."
Rejected,"1. The visa recommendation was approved with the advice: (a) If any misinformation is provided in the application, the work permit will not be allowed. (b) The expatriate has to receive the E visa from the aforesaid Bangladesh mission which you mentioned in the application.\
\
2. But you provided misinformation about the travel history in the E visa application, as well as the expatriate did not receive the E visa from the aforesaid Bangladesh mission which you mentioned in the application\
\
3. Hence, the application has been rejected."
Rejected,"1. The visa recommendation was approved with the advice: (a) If any misinformation is provided in the application, the work permit will not be allowed. (b) The expatriate has to receive the E visa from the aforesaid Bangladesh mission which you mentioned in the application.\
\
2. But you provided misinformation about the travel history in the E visa application, as well as the expatriate did not receive the E visa from the aforesaid Bangladesh mission which you mentioned in the application\
\
3. Hence, the application has been rejected."
Rejected,"1. The visa recommendation was approved with the advice: (a) If any misinformation is provided in the application, the work permit will not be allowed. (b) The expatriate has to receive the E visa from the aforesaid Bangladesh mission which you mentioned in the application.\
\
2. But you provided misinformation about the travel history as well as the expatriate has to receive the E visa from the aforesaid Bangladesh mission which you mentioned in the application\
\
3. So the application has been rejected."
Rejected,"1. The visa recommendation was approved with the advice: (a) If any misinformation is provided in the application, the work permit will not be allowed. (b) The expatriate has to receive the E visa from the aforesaid Bangladesh mission which you mentioned in the application.\
\
2. But you provided misinformation about the travel history as well as the expatriate has to receive the E visa from the aforesaid Bangladesh mission which you mentioned in the application\
\
3. So the application has been rejected."
Rejected,"1. Name of the company does not match with the BIDA registration, 5 years will exceed on 10-Apr-2022. Hence the application has been rejected."
Rejected,"(1) Sir kindly see doc 12\
(2)The extension of the work permit has been approved for the last time on the condition that further extension of the work permit will not be allowed. You have to replace the expatriate with the local HR by this period. The work will be invalid on 28 May 2023 atomically"
Rejected,"A.7  Years will exceed on 24-Feb-2024\
B. Last year the work permit was approved with the - The work permit extension has been approved for the last time on the condition that further extension of the work permit will not be allowed. You must replace the expatriate with the local HR by this period. \
C. Did not upload the income tax certificate for the last 2 assessment years. Did not send family remittance through the Bank;\
D. Please hire a local employee. Hence the application has been rejected"
Rejected,The work permit extension has been approved for the last time on the condition that further extension of the work permit will not be allowed. You must replace the expatriate with the local HR by this period. 
Rejected,8 years already exceed on 29-May-2022. Hance the application has been rejected.
Rejected,8 years already exceed on 23-Sep-2022. Kindly hire local employee.
Rejected,Please apply for On arrival visa. As discussed.
Rejected,1.Five years of employment will be completed on 01.05.2020;you are suggested to replace this foreign employee by appointing local employee
Rejected,This application is rejected as it has been re-submitted several times without fulfilling the query 
Rejected,6 years already exceed on 03-Nov-2021 as well as did not receive the salary through banking channel; Hence the application has been rejected. Please hire local employee 
Rejected,"Seven years of employment has been completed on 30.04.2021; please replace this foreign employee by recruiting local human resources.\
"
Rejected,Seven years of employment already completed on 30.04.2021; please replace this foreign employee by recruiting local human resources
Rejected,Approved the other two. Send this employee back
Rejected,"The duration of the work permit will be 7 years on 22-Sep-2022, kindly replace the post by local HR, Hance the application has been rejected."
Rejected,"Last time, the extension of the work permit  was approved for the last time on the condition that further extension of the work permit would not be allowed. You have to replace the expatriate with the local HR by this period, and another extension is unacceptable."
Rejected,6 years will exceed 18.11.2021. Please hire a local employee.
Rejected,"The application is totally incomplete, even the name of the company has not been written. Existing company information, office address, factory address, date of commercial operation, existing list of directors have not been submitted. No attachment has been submitted.\
It is nothing but harassment of this office."
Rejected,"The foreign worker's salary is lower than the salary mentioned in the  BIDA guideline. Therefore, the company must provide the reasons and supporting documents for paying a lower salary to the foreign worker."
Rejected,"As per the uploaded passport (doc 4), the foreign national is already in Bangladesh under the B visa. Earlier your undertaking stated that you will process the E1 visa before the arrival of the expatriate in Bangladesh (undertaking attached). Now you have violated your own undertaking. Thus, rejected."
Rejected,"As per the uploaded passport (doc 4), the foreign national is already in Bangladesh under the B visa. Earlier your undertaking stated that you will process the E1 visa before the arrival of the expatriate in Bangladesh (undertaking attached). Now you have violated your own undertaking. Thus, rejected."
Rejected,"As per the uploaded passport (doc 4), the foreign national is already in Bangladesh under the B visa. Earlier your undertaking stated that you will process the E1 visa before the arrival of the expatriate in Bangladesh (undertaking attached). Now you have violated your own undertaking. Thus, rejected."
Rejected,"As per the uploaded passport (doc 4), the foreign national is already in Bangladesh under the B visa. Earlier your undertaking stated that you will process the E1 visa before the arrival of the expatriate in Bangladesh (undertaking attached). Now you have violated your own undertaking. Thus, rejected."
Rejected,"As per the uploaded passport (doc 4), the foreign national is already in Bangladesh under the B visa. Earlier your undertaking stated that you will process the E1 visa before the arrival of the expatriate in Bangladesh (undertaking attached). Now you have violated your own undertaking. Thus, rejected."
Rejected,"As per the uploaded passport (doc 4), the foreign national is already in Bangladesh under the B visa. Earlier your undertaking stated that you will process the E1 visa before the arrival of the expatriate in Bangladesh (undertaking attached). Now you have violated your own undertaking. Thus, rejected."
Rejected,"As per the uploaded passport (doc 4), the foreign national is already in Bangladesh under the B visa. Earlier your undertaking stated that you will process the E1 visa before the arrival of the expatriate in Bangladesh (undertaking attached). Now you have violated your own undertaking. Thus, rejected."
Rejected,"As per the uploaded passport (doc 4), the foreign national is already in Bangladesh under the B visa. Earlier your undertaking stated that you will process the E1 visa before the arrival of the expatriate in Bangladesh (undertaking attached). Now you have violated your own undertaking. Thus, rejected."
Rejected,"As per the uploaded passport (doc 4), the foreign national is already in Bangladesh under the B visa. Earlier your undertaking stated that you will process the E1 visa before the arrival of the expatriate in Bangladesh (undertaking attached). Now you have violated your own undertaking. Thus, rejected."
Rejected,Please apply a manual application  for the decision of the higher authority
Rejected,"As per the uploaded passport (doc 4), the foreign national is already in Bangladesh under the B visa. Earlier your undertaking stated that you will process the E1 visa before the arrival of the expatriate in Bangladesh (undertaking attached). Now you have violated your own undertaking. Thus, rejected."
Rejected,"Rejected
 salary should be 1000 USD as per visa application 
"
Rejected,"1.Did not upload Bank statement of the salary payment in favor of the investor/employee  for the previous working period;\
2. Late application; already exceed 5 years.\
3. why only for office work need foreigner, Please hire a local employee. \
4. Hence; the application for extension of the work permit has been rejected."
Rejected,5 years passed. Please replace him with local HR.
Rejected,The application is rejected as the principal company has financial incapacitance to run business in Bangladesh
Rejected,05 years will exceed on11-Oct-2022. Uploaded a request letter for the extension of the work permit. Maybe approve for 1 for last time
Rejected,"The application is rejected because the applicant showed serious callousness in submitting the application. Machinery serial has started from 1384 leaving 1 t0 1383 serial blank. Name of investing country is also blank. Despite requiring no amendment at serial 6 and 7, information has been inserted. Sufficient care should be taken while submitting the application."
Rejected,"Too late application, Hance the application has been rejected"
Rejected,"1.Uploaded work permit start from 02 April 2020, desire effective date 31-Mar-2020. The reason is not understood. \
2. did not upload an Up-to-date income tax clearance certificate under section-91 of Income Tax ordinance 1984;\
3.did not submit the proper resignation letter \
4. did not upload the copy of the passport (whole used part) chronologically for each of the pages.\
\
"
Rejected,6 years will exceed on 06-Oct-2021. Uploaded a request letter for extension of the work permit (doc 13).
Rejected,"Last time (2020) the work permit approved with this remark-\
Approved in perspective of corona pandemic situation. The company should take all necessary steps to replace this foreign employee by a local employee within this extended one year. In 2019 also imposed the same condition replace by local employee.\
you did not follow the direction;\
7 years will exceed on12-Jul-2021, apply for again extension of the work permit for 6 months"
Rejected,the application is rejected as despite repeated requests the company has filed to furnish requested documents.
Rejected, Five years will exceed on 17-Apr-2023.Hance the applciation has been rejected
Rejected,5 year already excced on 17-Apr-2023. Kindly replace the post by a local employee. 
Rejected,1.Copy of security clearance has been uploaded in every field; please review
Rejected,Irrelevant copy of security clearance has been submitted in all the field after given shortfall several times 
Rejected,6 years will exceed on 21.6.2021
Rejected,"1.Five years of employment has been completed on 22.02.2021 under E1 visa; no further extension is possible\
"
Rejected,1.Five years of employment has been completed on 22.02.2021 under E1 visa; no further extension is possible
Rejected,1.Five years of employment has been completed on 22.02.2021 under E1 visa; no further extension is possible
Rejected,1.Five years of employment has already been completed on 22.02.2021 under E1 visa; no further extension is possible 
Rejected,Please send back the employee
Rejected,1.Please send back the employee. 
Rejected,"Sir, The expatriate did not leave Bangladesh, Please see doc 6 and give your kind decision."
Rejected,"1.Copy of board resolution was not found\
2.Last five years salary of this employee was same which is not realistic\
3.Please open a bank account immediately in favor of this employee and submit the account details\
4.Five years of employment has been completed on 14.12.2020\
5. The company has submitted an explanation in doc 12 regarding the necessity of the further extension of work permit; now the case is forwarded for kind decision\
"
Rejected,1.Salary amount should be corrected in the application form
Rejected,1. Minimum basic salary is 650USD
Rejected,same as the application WPN-09Dec2020-00024 
Rejected,The manpower ratio does not cover the BIDA guideline. Kindly hire local HR. You also did not comply with the commitment you made earlier.
Rejected,The manpower ratio does not cover the BIDA guideline. Kindly hire local HR. You also did not comply with the commitment you made earlier.
Rejected,"1. Six years of employment will be completed on 01.03.2021\
2. The company has submitted an explanation in doc 12 regarding the necessity of the further extension of work permit; now the case is forwarded for kind decision\
"
Rejected,The expatriate did not send any remittance in the last 4 years. Uploaded the explanation (docs 12 &13) and resubmitted the application
Rejected,"A. Last time the work permit was approved with the remark -The work permit extension has been approved for the last time on the condition that further extension of the work permit will not be allowed. You must replace the expatriate with the local HR by this period.\
B.Hence the application has been rejected"
Rejected,  5 years already exceed on 03-Oct-2022 (10 months ago).Hence the application has been rejected
Rejected,The higher authority rejected the application manually. Hence the application has been rejected
Rejected,A. Earlier the application for the new work permit was rejected (WPN-08Oct2023-00009 ) B. Now they have submitted the new application. Please see the application (WPN-08Oct2023-00009) and give your kind decision
Rejected,Misinformation was used to get the visa recommendations. Work permit cannot be approved. Please ensure immediate departure of the employee.
Rejected,"A. Two times we requested to upload the copy of the whole used part. You did not follow it\
B. The expatriate earlier worked in the same company but you did not mention it in the visa application \
C. because you provided misinformation, the application has been Rejected.\
D. If you want to review the application, you may submit a manual application to the Executive Chairman sir"
Rejected,The deadline for the application was 24.11.2023. But the board resolution was prepared on 15.11.2023. Rejected.
Rejected,The deadline for the application was 24.11.2023. But the board resolution was prepared on 15.11.2023. Rejected.
Rejected,"1.Income tax certificate 2020-2021 with acknowledgement slip should be submitted\
2.The company has submitted an explanation in doc 12 regarding the necessity of the further extension of work permit; now the case is forwarded for kind decision\
"
Rejected,"A. 8 Years will exceed on 20-Feb-2024\
 B. Last year the work permit was approved with the - The work permit extension has been approved for the last time on the condition that further extension of the work permit will not be allowed. You must replace the expatriate with the local HR by this period. \
C. Did not upload the income tax certificate for the last assessment year. The basic salary less than the BIDA guideline\
 D. Please hire a local employee. Hence the application has been rejected"
Rejected,"1. 7 years will exceed 20-Jan-2023.  Last time, the work permit extension was approved on the condition that further extension of the work permit will not be allowed. You were also advised to replace the expatriate with the local HR by this period."
Rejected,The organization has to apply for a new work permit as a work permit extension is not applicable in this case.
Rejected,"A. The security clearance was issued with the remark -             2. Please submit an explanation letter with the income tax returns and certificates, calculation of the taxes, and related documents and kindly clarify, showing with the calculations, that you fulfill the above condition properly (deduct income tax properly as per the instruction of the security service division for the period from the 1st working day.\
B.As per the tax calculation sheet, the expatriate worked in Bangladesh from 1.7.2021 to 15.1.2022. But while you received the first work permit, why not provide the previous work-related information? Kindly discuss this over the phone and then resubmit the application"
Rejected,The expatriate over stayed in Bangladesh on 10.2.2023.Hance the applciation has been rejected
Rejected,Duration cannot be extended to such a degree through amendment. Apply for extension with appropriate explanation of late apply.
Rejected,"You have registered as an industry and visa recommendations/work permits are provided for industrial purpose. If you wish to continue trading, cancel industrial registration, register with BIDA commercial branch and process your further transactions with that branch."
Rejected,"1.Updated copy of board resolution should be submitted\
2.Work permit should be taken from commercial section as the company is not in production now"
Rejected,HR of this position is available in Bangladesh. Please hire locally.
Rejected,1.Seven years of employment will be completed on 17.03.2021; Please replace this employee with local HR>
Rejected,"1.Income tax certificate 2019-2020 should be submitted\
2.Six years of employment has been completed;you are suggested to appoint local employ"
Rejected,The proposal for opening of new branch office has been rejected due to not uploading the audit report having satisfactory financial position.
Rejected,"A. Last time the work permit was approved with the remark-The work permit extension has been approved for the last time on the condition that further extension of the work permit will not be allowed. You must replace the expatriate with the local HR by this period. \
B, Please replace the expatriate with a local employee, "
Rejected,Last time the work permit was approved with the remark- The work permit extension has been approved for the last time on the condition that further extension of the work permit will not be allowed. You must replace the expatriate with the local HR by this period.Please hire local employees.
Rejected,Reviewed the job description. A lot of local HR is available for this kind of position. Please hire locally.
Rejected,"A. 5 years will exceed 08-May-2023. Kindly take the necessary action to cancel the work permit and replace the post with local HR. \
B. If you don't follow the above advice, please submit the following information and documents: \
 \
(i)    the reasons for the extension of the work permit with the supporting documents \
(ii)  a replacement plan of the foreign worker with a local worker along with supporting documents \
(iii)  submit a plan with supporting documentation on how the foreign worker trained and developed the local worker as his successor last five years \
(iv) submit a duly approved training manual having the evaluation method of the training for local workers. \
(v)   the experience and qualification of the position for which a foreign worker is appointed \
(vi) the process and formalities with supporting documents observed in appointing the expatriate \
(vii)   the duly approved Service Regulation where provisions of appointing foreign workers are described clearly.   \
C. Please upload the proof of the source tax deduction of the expatriate for the assessment year for 2023-2024 (up to the last month)\
D. Please clarify how the foreigner sent family remittances to his/her own country with the proper documentation (mark all outward remittance transactions in the bank statement for last year).\
"
Rejected,"A. There are more existing foreigners (10) than those mentioned in the BIDA registration (5). Please amend the industry registration (the column for manpower) based on the actual manpower. B. Please upload the production statement as per Musak 9.1 ( more details, product-wise); C. Please mention house rent of USD 500 in the salary structure (as per the previous work permit)"
Rejected,"A. There are more existing foreigners (10) than those mentioned in the BIDA registration (5). Please amend the industry registration (the column for manpower) based on the actual manpower. B. Please upload the production statement as per Musak 9.1 ( more details, product-wise); C. Please mention the house rent of USD 350 in the salary structure (as per the previous work permit)"
Rejected,Don't see any rationale for extension of an Assistant Manager.
Rejected,please change the address in Trade license
Rejected,"A. 5 years will exceed 04-Aug-2023 Kindly take the necessary action to cancel the work permit and replace the post with local HR. \
B. If you don't follow the above advice, please submit the following information and documents: \
 \
(i)    the reasons for the extension of the work permit with the supporting documents \
(ii)  a replacement plan of the foreign worker with a local worker along with supporting documents \
(iii)  submit a plan with supporting documentation on how the foreign worker trained and developed the local worker as his successor last five years \
(iv) submit a duly approved training manual having the evaluation method of the training for local workers. \
(v)   the experience and qualification of the position for which a foreign worker is appointed \
(vi) the process and formalities with supporting documents observed in appointing the expatriate \
(vii)   the duly approved Service Regulation where provisions of appointing foreign workers are described clearly.   \
C. Please upload the proof of the source tax deduction of the expatriate for the assessment year for 2023-2024 (up to the last month)\
D. Please clarify how the foreigner sent family remittances to his/her own country with the proper documentation (mark all outward remittance transactions in the bank statement for last year).\
"
Rejected,Rejected as his tenure has exceeded five year.
Rejected,please apply for the first day of arrival in Bangladesh
Rejected,"You applied application for the amendment of the visa recommendation wrongly, As because the expatriate already received the work permit. kindly application for the amendment of the work permit.\
Hence the application has been rejected."
Rejected,One year and 3 months over Saty. Uploaded doc 6 and resubmit the applciation
Rejected,One year and 3 months over Saty. Uploaded an explanation on doc 6 and submitted the application
Rejected,Please hire a Private Secretary locally or replace the post with local HR.
Rejected,1.The company has submitted an explanation in doc 13 regarding the necessity of this foreign employee;now the case is forwarded for kind decision
Rejected,HR with similar expertise are available in Bangladesh. Please recruit locally.
Rejected,Rejected earlier. Please replace with local HR.
Rejected,Please replace this employee with local employee.
Rejected,A reputed company like Coca-Cola published a job opening for its Finance Director in a relatively unknown newspaper named Daily Amar Shongbad? Is it reliable that the aspirant candidates read this newspaper for jobs in international corporates in Bangladesh? The intention seems not to get responses from local talents. 
Rejected,Last 6 years the expatriate worked in the same company same post. Again you hired him without completing the recruitment process. Hence the application has been rejected
Rejected,"Because 5 years validity of the work permit is already over as well as you did not follow the FERA act & its guideline properly. Hence, The application has been rejected "
Rejected,"The explanation is not acceptable. Earlier, you gave an undertaking that you must receive an E Visa from abroad (WPN-13Jun2023-00001 ). Please ensure your undertaking Note: Please follow the above observation and resubmit the application properly. The application processing is a fully automatic and online process. If you are confused about the observations or the next course of action, you may call over the phone OR mail for clarifications. Physical visits are generally discouraged to maintain neutrality and transparency of decisions. Or you may apply manul application for review the higher authority "
Rejected,"A.The previous shortfall was-``   ..                 \
B. Sir, Please see doc 12 and give your kind decision."
Rejected,"Please follow the previous observation and resubmit the application properly. The application processing is a fully automatic and online process. If you are confused about the observations or the next course of action, you may call over the phone OR mail for clarifications. Physical visits are generally discouraged to maintain neutrality and transparency of decisions."
Rejected,"6 years already exceed, Please hire a local employee."
Rejected,"5 years already exceed, please hire a local employee."
Rejected,5 years already exceed. Please replace by a local employee.
Rejected,Extension application too much delayed. Advised to cancel the work permit and apply for the E visa recommendation 
Rejected,"A. Last time the work permit was extended with the remark-The work permit extension has been approved for the last time on the condition that further extension of the work permit will not be allowed. You must replace the expatriate with the local HR by this period. B. kindly replace the post with local HR. \
\
B. If you don't follow the above advice, please submit manual application with the following information and documents: \
 \
(i)    the reasons for the extension of the work permit with the supporting documents \
(ii)  a replacement plan of the foreign worker with a local worker along with supporting documents \
(iii)  submit a plan with supporting documentation on how the foreign worker trained and developed the local worker as his successor last five years \
(iv) submit a duly approved training manual having the evaluation method of the training for local workers. \
(v)   the experience and qualification of the position for which a foreign worker is appointed \
(vi) the process and formalities with supporting documents observed in appointing the expatriate \
(vii)   the duly approved Service Regulation where provisions of appointing foreign workers are described clearly"
Rejected,7 years exceed on 24-Feb-2023 as well as the expatriate did not follow the Foreign Exchange Regulation Act and its related guidelines.Hance the application has been rejected
Rejected,Please submit security clearance
Rejected,This is a general level middle tire position. Please hire local resources which we have sufficient and of international quality.
Rejected,The proposal of work permit extension has been REJECTED for submitting two applications for the same expatriate.
Rejected,The expatriate overstayed for a long time beyond the work permit. Hance the applciation is rejected
Rejected,"A. Late application; the explanation is not acceptable. Last 2 years, you received 17 services (including the work permit cancellation). Covid never impacts BIDA's online service. Please upload the passport copy (each of the pages chronologically, marked with the latest E visa seals, exit visa seal, latest arrival seal, and final departure seal under the work permit) \
B. Please upload the up-to-date income tax clearance certificate under section 91 of the Income Tax Ordinance 1984 up to the last departure date (with return copy, acknowledgement slip, and payment document (challan) copy "
Rejected,please explain what the teacher will teach and why foreign teacher is required
Rejected,"As the previous responses to the below query: \
The question was very specific provide an acceptable reason for recruiting a foreign teacher. The response was ambiguous. The rationale of the response should be focused on the capacity of the expatriate for whom the recommendation is sought, not on other peripheral issues. This school has been running for 13 years that envisages that necessary local skills should have been developed by the organization so that expatriate would not be needed in the future which is also the ambit of the guidelines promulgated by BIDA for hiring the expatriate to hire for a certain period. but it appears that this has not been the case. We request the organization to submit a tangible, focused rationale for hiring this expatriate.""\
is not made properly to the query hence the application is rejected."
Rejected,1.Seven years of employment will be completed on 17.03.2020; no further extension is possible. You are suggested to appoint local employee in replace of this foreign employee
Rejected,1.Seven years of employment will be completed on 17.03.2020;you are suggested to replace this foreign employee by appointing local employee
Rejected,"A. 6 years will expire on 13-Dec-2023.  Last time, the work permit was approved with the remark-The work permit extension has been approved for the last time on the condition that further extension of the work permit will not be allowed. You must replace the expatriate with the local HR by this period. \
Please replace the post with a local employee\
C, Hence the application has been rejected"
Rejected,6 years will exceed on 04-Mar-2024. Please replace the post by a local employee.Hence the applciation has been rejected
Rejected,"The proposal for extension of the work permit has been rejected due to:
(a) the tenure of the employment has already exceeded 08 years will exceed on 26.4.2020. 
"
Rejected,Please hire a local Finance Controller
Rejected,"Please share the recruitment result along with the contact details of the applicants. Also, explain why this applicant has been selected."
Rejected,The proposal for opening of liaison office has been rejected due to not uploading the audit report having satisfactory financial position.
Rejected,"The company shall make a presentation to the Inter-Ministerial Committee on the requirements of operating a company and a branch office simultaneously, activities, and recording financial statements of the company and branch office. The proposal for extending the tenure of the branch office will be considered after the submission"
Rejected,"The proposal was deferred: \
1. Please submit 18B notification letter from Bangladesh Bank\
2. opinion will be seeking from transfer pricing wing NBR\
3. Clear explanation needed how the operation is funded in Bangladesh"
Rejected,The extension cannot be done through the amendment module. Please apply through extension module.
Rejected,Lots of physiotherapists in Bangladesh. Please recruit from there.
Rejected,The company is requested to explain to Bida in detail the reason for the inconsistencies found by the auditor in its financial statement. 
Rejected,"Four representatives from the company met us in the office and had a productive discussion. In one point direction from the Executive Member was also received and accordingly the company representatives were advised. Despite all the efforts, the applicant failed to comply the observations, even to follow their own commitment. We are sorry to observe the non-compliance of the discussion held in person. Therefore, the application is rejected."
Rejected,rejected as requested 
Rejected,"5 years will exceed on 12-Feb-2024 , Hence the application has been rejected for this Project Coordinator"
Rejected,5 years will exceed 08-Feb-2024. Uplaoded a request letter for the extension of the work permit. Please see the uploaded doc 13 and give your kind decision for the extension of the work permit
Rejected,"1.Work permit was extended for two years earlier with effect from 08.02.2019 as per the desire of the company but now the company is saying that  effective date will be 08.02.2020. It was their typing mistake.\
2.Work permit may be amended for two years with effect from 08.02.2020 as per board resolution and reappointment letter"
Rejected,5 years will exceed 08-Feb-2024. Uplaoded a request letter for the extension of the work permit. Please see the uploaded doc 13 and give your kind decision for the extension of the work permit
Rejected,"1.Work permit was extended for two years earlier with effect from 08.02.2019 as per the desire of the company but now the company is saying that  effective date will be 08.02.2020. It was their typing mistake.\
2.Work permit may be amended for two years with effect from 08.02.2020 as per board resolution and reappointment letter"
Rejected,"1.Work permit was extended for two years earlier with effect from 08.02.2019 as per the desire of the company but now the company is saying that  effective date will be 08.02.2020. It was their typing mistake.\
2.Work permit may be amended for two years with effect from 08.02.2020 as per board resolution and reappointment letter"
Rejected,"5 years will exceed 17.2.2022. Hence the application has been rejected.\
 Please take necessary action to cancellation the work permit as well replace the post with local HR."
Rejected,"1. please submit the expatriat's All academic & professional certificates. Also, explain why local manpower is not available for the O&M purpose of the Summit Bibiyana power plant. \
2. Please share the recruitment result along with the contact details of the applicants. Also, explain why this applicant has been selected."
Rejected,Suggested to apply for the extension of work permit in favor of the investor
Rejected,Please recruit a local employee.
Rejected, 7 years will excced on 11-Sep-2023 . Last time the work permit was approved with the reamrk The work permit extension has been approved for the last time on the condition that further extension of the work permit will not be allowed. You must replace the expatriate with the local HR by this period. Please replace by local manpower
Rejected,"Because you did not follow the FERA acts and Its guideline for the last 7 years ,Hence the application has been rejected"
